Theta,Phi,x,y,z
0.099488,1.266734,0.949410,0.094768,0.299399
4.375144,0.884104,-0.255892,-0.729785,0.633982
4.276062,1.579847,-0.422596,-0.906273,-0.009051
4.840997,1.258022,0.122031,-0.943626,0.307700
5.430187,2.584657,0.347666,-0.398162,-0.848879
5.475142,2.098127,0.597056,-0.624728,-0.503228
2.606960,2.010224,-0.778709,0.461118,-0.425421
4.093032,1.636989,-0.579240,-0.812469,-0.066145
5.197770,1.884057,0.443840,-0.841452,-0.308162
4.624744,1.520567,-0.087422,-0.994905,0.050208
1.737814,1.567446,-0.166241,0.986079,0.003350
1.347372,1.338010,0.215594,0.948842,0.230690
0.285420,0.517070,0.474336,0.139185,0.869271
3.581116,1.888718,-0.859605,-0.404185,-0.312593
5.026440,1.460931,0.307052,-0.945356,0.109644
2.396425,2.717270,-0.302591,0.279174,-0.911318
4.352870,0.379192,-0.130235,-0.346503,0.928964
1.939332,1.161198,-0.330450,0.855691,0.398241
0.025777,2.265692,0.767865,0.019798,-0.640306
1.184164,2.292375,0.283092,0.695345,-0.660571
3.553096,1.212431,-0.858295,-0.374577,0.350744
0.920404,1.346200,0.590291,0.775858,0.222713
3.597623,1.258391,-0.854351,-0.419072,0.307348
4.231375,0.932510,-0.371586,-0.711985,0.595820
2.570016,0.558225,-0.445488,0.286536,0.848197
2.102701,1.860179,-0.486087,0.826008,-0.285361
5.709966,1.426612,0.831441,-0.536712,0.143685
3.248995,0.431798,-0.416093,-0.044862,0.908215
6.100530,2.100752,0.848476,-0.156726,-0.505495
4.686875,0.434996,-0.010750,-0.421269,0.906872
3.262840,2.684195,-0.438373,-0.053414,-0.897205
2.297963,1.712943,-0.658051,0.739526,-0.141668
0.978479,1.558431,0.558243,0.829586,0.012365
5.646250,1.874762,0.767068,-0.567470,-0.299307
5.477824,1.487383,0.690442,-0.718574,0.083316
0.691954,1.498647,0.767997,0.636383,0.072087
0.578035,1.872862,0.799617,0.521642,-0.297493
0.078358,1.251040,0.946399,0.074310,0.314335
5.013698,0.370160,0.107361,-0.345466,0.932270
4.788616,2.332745,0.055096,-0.721391,-0.690333
4.937671,1.173989,0.206024,-0.898994,0.386476
2.688283,0.732158,-0.600961,0.292755,0.743734
1.002828,1.387128,0.528873,0.828817,0.182638
2.866289,2.390060,-0.657049,0.185601,-0.730643
1.090115,2.269763,0.353958,0.678761,-0.643427
0.348618,0.550226,0.491427,0.178616,0.852406
5.219451,2.724799,0.196590,-0.353893,-0.914392
5.731092,1.896202,0.806747,-0.496947,-0.319693
0.377497,1.160312,0.852367,0.337975,0.399054
2.982783,0.619917,-0.573657,0.091876,0.813927
1.796481,1.575130,-0.223772,0.974632,-0.004334
1.363811,1.897064,0.194669,0.927026,-0.320510
3.959169,0.045899,-0.031383,-0.033471,0.998947
6.085418,1.590180,0.980323,-0.196444,-0.019382
5.603584,0.244703,0.188442,-0.152262,0.970209
5.938403,2.860659,0.260936,-0.093709,-0.960797
1.817258,2.384545,-0.167556,0.666025,-0.726867
5.747534,1.015877,0.730897,-0.433812,0.526875
4.888224,1.865474,0.167390,-0.942141,-0.290432
0.597301,0.499376,0.395963,0.269327,0.877881
1.449307,0.100772,0.012192,0.099860,0.994927
1.226898,3.028104,0.038182,0.106614,-0.993567
6.128698,0.786549,0.699489,-0.108930,0.706293
1.473900,2.344485,0.069205,0.711982,-0.698779
0.116473,1.290549,0.954476,0.111677,0.276593
0.115855,0.865369,0.756231,0.088007,0.648359
3.341435,1.907490,-0.925068,-0.187368,-0.330368
0.510556,1.053571,0.758349,0.424743,0.494470
0.681550,2.075413,0.679802,0.551474,-0.483472
2.913463,0.828673,-0.717939,0.166685,0.675855
0.331711,1.753906,0.929680,0.320217,-0.182089
3.786080,1.121041,-0.719909,-0.541043,0.434746
5.956016,2.952207,0.178270,-0.060499,-0.982120
0.516996,0.227950,0.196447,0.111696,0.974132
4.420962,1.212230,-0.269046,-0.896917,0.350932
0.588217,0.325832,0.266299,0.177615,0.947385
2.761313,0.519266,-0.460792,0.184196,0.868184
1.207532,0.568334,0.191248,0.503105,0.842799
2.529628,1.813183,-0.794594,0.557684,-0.240020
4.999350,2.355597,0.200258,-0.678597,-0.706684
2.056218,1.382649,-0.458348,0.868869,0.187039
2.516474,2.167430,-0.670797,0.484091,-0.561861
4.606158,0.702989,-0.068550,-0.642856,0.762913
5.015654,1.099995,0.266148,-0.850536,0.453601
3.660738,1.576717,-0.868228,-0.496129,-0.005921
3.000498,2.972309,-0.166802,0.023692,-0.985706
2.911116,1.697060,-0.965807,0.226623,-0.125929
3.791188,1.678728,-0.791695,-0.601345,-0.107722
1.782802,2.340116,-0.151163,0.702300,-0.695647
1.163206,0.914165,0.313968,0.727167,0.610452
1.137081,2.597309,0.217605,0.469862,-0.855498
0.402258,2.405259,0.617970,0.262920,-0.740936
4.247827,1.336557,-0.435796,-0.869603,0.232103
3.931324,2.140671,-0.592776,-0.597936,-0.539526
3.768374,0.283378,-0.226454,-0.163997,0.960116
5.294913,2.433646,0.357738,-0.543030,-0.759699
2.798733,1.549147,-0.941577,0.336103,0.021648
2.404462,1.013925,-0.628536,0.570611,0.528533
5.933879,1.261406,0.894997,-0.325996,0.304478
1.211152,0.658177,0.215274,0.572542,0.791109
6.172323,0.963568,0.816191,-0.090857,0.570593
5.586193,1.559158,0.766724,-0.641871,0.011638
6.032829,2.587408,0.509844,-0.130378,-0.850330
4.988294,1.280897,0.261051,-0.922030,0.285856
6.159554,0.679840,0.623870,-0.077525,0.777673
3.212179,1.081976,-0.880689,-0.062268,0.469585
2.480955,1.284824,-0.757534,0.588700,0.282090
5.983638,0.663206,0.588232,-0.181670,0.788023
4.397119,1.297883,-0.298597,-0.915527,0.269538
1.532638,1.835492,0.036820,0.964470,-0.261615
2.269686,2.270466,-0.492212,0.585693,-0.643965
2.341829,0.557941,-0.368955,0.379710,0.848347
4.375972,2.229118,-0.261121,-0.746678,-0.611790
3.793140,2.035081,-0.710974,-0.542224,-0.447783
2.588252,0.982124,-0.707571,0.437074,0.555257
3.473406,2.334380,-0.682960,-0.235315,-0.691515
4.088000,1.704001,-0.579423,-0.804133,-0.132811
3.178758,2.089545,-0.867840,-0.032269,-0.495794
2.971491,1.099464,-0.878105,0.150824,0.454074
5.968510,1.039123,0.819635,-0.266783,0.506977
3.316508,1.884270,-0.936753,-0.165544,-0.308365
6.269208,1.522202,0.998722,-0.013961,0.048575
1.288036,0.869967,0.213248,0.733956,0.644852
0.329041,2.064431,0.833374,0.284558,-0.473830
5.475688,1.334391,0.672081,-0.702462,0.234209
0.810124,2.534185,0.393474,0.413429,-0.821130
1.493716,2.281701,0.058351,0.755522,-0.652520
4.216100,0.833424,-0.352476,-0.650932,0.672345
0.535613,1.333692,0.835896,0.496090,0.234889
0.324306,0.962714,0.777962,0.261531,0.571294
0.064343,1.145310,0.908953,0.058566,0.412764
0.540694,1.561995,0.857318,0.514712,0.008801
0.696819,2.051103,0.680116,0.569166,-0.462052
1.521561,1.120250,0.044304,0.899118,0.435458
5.013342,1.581158,0.296415,-0.955003,-0.010361
0.555873,1.700055,0.842354,0.523283,-0.128899
2.290288,2.317118,-0.483834,0.552215,-0.678943
1.808678,2.060813,-0.207915,0.857478,-0.470640
5.134752,2.437072,0.265490,-0.590753,-0.761922
5.806399,1.961658,0.821467,-0.424315,-0.380985
3.283770,1.726471,-0.977939,-0.139985,-0.155047
5.065563,0.590881,0.192686,-0.522709,0.830450
5.020327,2.059679,0.267589,-0.841329,-0.469640
2.508513,1.302056,-0.777272,0.570394,0.265517
3.925824,1.368975,-0.693563,-0.691946,0.200454
2.419802,1.533813,-0.750111,0.660278,0.036975
5.886910,0.893095,0.718646,-0.300688,0.627004
4.937022,0.482404,0.103335,-0.452255,0.885882
4.094166,1.843849,-0.558115,-0.784719,-0.269672
3.914369,1.046335,-0.619743,-0.604294,0.500747
5.398590,2.039427,0.565293,-0.690248,-0.451665
2.720735,1.263500,-0.869981,0.389406,0.302483
5.796359,0.207015,0.181660,-0.096156,0.978649
1.922572,2.400527,-0.232607,0.633734,-0.737750
2.765897,1.418365,-0.919466,0.362665,0.151841
3.699857,2.005556,-0.769271,-0.480437,-0.421193
0.438600,0.873796,0.694194,0.325627,0.641920
3.268638,2.552790,-0.550889,-0.070367,-0.831606
3.298026,0.244489,-0.239105,-0.037712,0.970261
4.553987,1.590758,-0.157709,-0.987284,-0.019960
4.517962,0.299966,-0.057090,-0.289920,0.955346
4.627266,1.106000,-0.076001,-0.890676,0.448241
2.002641,1.574454,-0.418544,0.908189,-0.003658
1.184360,0.389599,0.143149,0.351809,0.925062
4.664862,1.873306,-0.045352,-0.953514,-0.297917
5.846535,2.790620,0.311553,-0.145400,-0.939039
1.135646,2.975031,0.069889,0.150342,-0.986161
6.173529,0.965127,0.817184,-0.089970,0.569312
2.062805,1.086227,-0.418013,0.779917,0.465827
1.729555,1.163813,-0.145179,0.906771,0.395840
1.157255,1.769146,0.393975,0.897750,-0.197051
2.297536,0.934437,-0.534383,0.601063,0.594272
4.542214,0.763329,-0.117080,-0.681345,0.722538
4.498244,1.221371,-0.199670,-0.918108,0.342358
1.608131,2.048452,-0.033149,0.887456,-0.459698
4.653419,1.587239,-0.058928,-0.998127,-0.016442
1.168551,0.493637,0.185498,0.436012,0.880615
0.208555,1.417515,0.966861,0.204619,0.152681
0.582017,2.615361,0.419581,0.276107,-0.864706
4.389017,1.055733,-0.276539,-0.825155,0.492590
1.261200,0.127206,0.038652,0.120832,0.991920
2.016196,0.506831,-0.209123,0.438052,0.874287
6.154205,2.431530,0.646466,-0.083847,-0.758321
5.575727,1.812816,0.737866,-0.630963,-0.239664
4.924060,1.048452,0.182078,-0.847309,0.498913
0.377716,2.341516,0.666839,0.264579,-0.696652
3.663342,3.035630,-0.091692,-0.052713,-0.994391
4.275091,2.572454,-0.228223,-0.488195,-0.842366
1.301684,2.067188,0.233786,0.847658,-0.476256
2.642237,1.414468,-0.867186,0.473021,0.155692
3.301190,1.898115,-0.934874,-0.150483,-0.321505
5.205740,1.564064,0.473569,-0.880731,0.006732
3.019153,1.105444,-0.886973,0.109147,0.448737
1.147876,1.782135,0.401293,0.891606,-0.209769
1.598242,1.293519,-0.026394,0.961442,0.273738
4.064529,0.584036,-0.332757,-0.439670,0.834244
6.035411,2.565931,0.527765,-0.133510,-0.838832
0.593506,1.497000,0.826729,0.557749,0.073729
6.169266,0.995201,0.833431,-0.095357,0.544334
6.048702,0.994371,0.815473,-0.194798,0.545030
0.691505,1.162393,0.706936,0.585250,0.397144
0.765105,0.443665,0.309624,0.297306,0.903185
4.241381,2.019515,-0.408862,-0.802895,-0.433811
4.677837,2.417592,-0.022882,-0.661992,-0.749162
0.955860,2.366024,0.403905,0.571867,-0.714023
3.627179,1.377956,-0.868008,-0.458075,0.191647
5.682421,0.141700,0.116498,-0.079831,0.989977
2.679761,2.546494,-0.501862,0.249793,-0.828093
0.599431,0.481218,0.382162,0.261132,0.886432
3.531261,2.205239,-0.745025,-0.305958,-0.592729
5.489989,2.410984,0.468175,-0.475534,-0.744768
3.461421,2.026277,-0.852509,-0.282350,-0.439894
3.874010,0.743141,-0.503096,-0.452424,0.736347
2.185488,0.708644,-0.375323,0.531676,0.759245
0.963187,1.717628,0.564763,0.812181,-0.146305
3.396624,0.507495,-0.470270,-0.122603,0.873965
2.560758,2.335776,-0.603091,0.395846,-0.692522
3.291620,1.896843,-0.936675,-0.141591,-0.320300
2.803473,0.594250,-0.528187,0.185723,0.828569
2.413081,1.117809,-0.670911,0.598614,0.437654
2.939670,2.015577,-0.884364,0.181040,-0.430260
2.966318,2.272132,-0.752276,0.133222,-0.645239
3.431604,1.315276,-0.927128,-0.276678,0.252749
3.817619,0.949737,-0.634397,-0.508857,0.581897
3.952387,0.987311,-0.574939,-0.604909,0.550936
4.319180,2.147303,-0.321226,-0.774391,-0.545098
5.380264,2.568415,0.335859,-0.425785,-0.840182
2.983487,0.872395,-0.756319,0.120585,0.642994
2.321226,0.934939,-0.548674,0.588454,0.593868
4.901881,2.383885,0.129452,-0.674956,-0.726414
1.196705,1.254816,0.347336,0.884756,0.310748
5.491095,1.389561,0.690856,-0.700164,0.180245
0.678358,2.215433,0.622352,0.501585,-0.600908
0.750406,2.625390,0.361011,0.336590,-0.869700
1.466046,1.258395,0.099498,0.946382,0.307345
0.866151,1.979435,0.594429,0.699113,-0.397360
6.181987,1.151355,0.908644,-0.092268,0.407250
5.613521,0.937976,0.632213,-0.500527,0.591422
4.251071,2.969554,-0.076202,-0.153296,-0.985238
2.713250,1.919783,-0.854821,0.390325,-0.341946
0.771531,1.108752,0.641678,0.624124,0.445779
5.244561,0.629387,0.298684,-0.507243,0.808389
1.844412,1.319569,-0.261732,0.932576,0.248593
0.312444,2.348096,0.678299,0.219107,-0.701357
5.568005,1.656300,0.752217,-0.653358,-0.085399
6.043159,1.498558,0.968798,-0.237108,0.072176
6.027864,1.684418,0.961343,-0.250928,-0.113377
0.461553,0.832980,0.662513,0.329524,0.672674
4.309816,2.042136,-0.349067,-0.819734,-0.454080
0.887124,1.639858,0.630139,0.773410,-0.069007
3.676489,2.095970,-0.744382,-0.441056,-0.501364
3.940281,1.419998,-0.689730,-0.708311,0.150228
0.335041,0.572113,0.511306,0.178020,0.840759
5.099184,0.372990,0.137460,-0.337481,0.931242
6.266927,0.670900,0.621609,-0.010108,0.783262
4.521010,1.548205,-0.190165,-0.981492,0.022590
3.157007,2.279757,-0.758949,-0.011699,-0.651045
1.088490,0.747902,0.315448,0.602521,0.733118
6.155242,1.955808,0.919219,-0.118254,-0.375570
5.472303,2.131595,0.583347,-0.613864,-0.531863
5.154731,2.226813,0.339204,-0.716158,-0.609966
0.214577,0.293104,0.282299,0.061522,0.957352
2.806188,2.685574,-0.415838,0.144951,-0.897813
4.724479,1.520767,0.012075,-0.998676,0.050009
2.823376,1.259953,-0.904277,0.297879,0.305861
0.753239,1.532370,0.728939,0.683500,0.038417
4.865066,0.696316,0.097546,-0.633935,0.767210
0.037566,0.934847,0.803941,0.030215,0.593942
0.884827,0.409276,0.252068,0.307932,0.917409
6.012611,1.239265,0.911144,-0.252730,0.325491
3.241771,1.817589,-0.964839,-0.096981,-0.244295
5.146908,0.986127,0.351048,-0.756403,0.551924
5.689581,0.998624,0.696904,-0.470263,0.541460
4.988957,2.111987,0.234035,-0.824524,-0.515157
0.982351,2.610821,0.280975,0.421059,-0.862417
4.012255,1.758381,-0.633017,-0.751340,-0.186486
3.364838,0.877292,-0.749927,-0.170256,0.639236
1.472966,2.299416,0.072874,0.742527,-0.665841
4.967283,1.773064,0.247003,-0.947962,-0.200891
6.039481,2.384985,0.666174,-0.165642,-0.727169
5.215411,1.544331,0.481907,-0.875823,0.026462
3.136173,1.800455,-0.973730,0.005277,-0.227645
0.983723,2.733623,0.219769,0.330318,-0.917928
5.299232,1.056675,0.482151,-0.725047,0.491770
4.120345,1.067146,-0.488762,-0.726763,0.482626
5.415228,1.127638,0.583947,-0.689305,0.428795
5.372837,1.635790,0.612176,-0.788050,-0.064948
0.122260,1.147398,0.904893,0.111187,0.410861
4.383243,1.259989,-0.307748,-0.900978,0.305828
1.399997,1.918733,0.159785,0.926399,-0.340959
2.811839,1.646584,-0.943406,0.322881,-0.075716
1.821436,2.539159,-0.140543,0.548944,-0.823959
2.428557,2.636345,-0.366106,0.316616,-0.875055
3.045441,2.456933,-0.629488,0.060713,-0.774634
5.463016,0.597021,0.383463,-0.411101,0.827014
2.277564,1.839619,-0.626056,0.733152,-0.265596
4.158134,1.793232,-0.513343,-0.829344,-0.220606
0.964268,0.605657,0.324513,0.467757,0.822128
0.538840,1.110492,0.768970,0.459731,0.444220
0.228724,1.573714,0.973952,0.226734,-0.002918
1.137616,0.867573,0.320176,0.692309,0.646680
4.452059,2.459598,-0.162250,-0.609104,-0.776317
3.287782,1.343650,-0.963920,-0.141927,0.225198
3.177640,0.730813,-0.667042,-0.024056,0.744632
4.355438,1.819241,-0.338690,-0.908198,-0.245897
4.646768,2.031827,-0.058728,-0.893667,-0.444872
5.355218,1.372342,0.587696,-0.784693,0.197154
1.742797,1.622941,-0.170922,0.983905,-0.052121
2.147842,1.568528,-0.545549,0.838076,0.002268
0.491355,1.175546,0.813716,0.435444,0.385039
0.015865,0.328628,0.322704,0.005120,0.946486
3.016924,0.642008,-0.594157,0.074459,0.800895
2.421826,0.419253,-0.306106,0.268350,0.913393
3.486087,1.186195,-0.872486,-0.313050,0.375190
4.816217,1.418954,0.102449,-0.983171,0.151259
2.432357,2.657955,-0.352872,0.302835,-0.885309
3.400038,0.560010,-0.513553,-0.135761,0.847250
0.824191,1.733636,0.670167,0.724288,-0.162121
6.129004,0.936281,0.795806,-0.123680,0.592787
3.211911,0.460546,-0.443339,-0.031226,0.895810
0.739864,1.541373,0.738241,0.673896,0.029419
1.531645,1.465748,0.038926,0.993725,0.104855
3.261891,0.227114,-0.223540,-0.027022,0.974320
3.167975,1.163298,-0.917796,-0.024219,0.396314
2.306486,2.184104,-0.548790,0.606253,-0.575575
2.844101,1.713362,-0.946375,0.290149,-0.142083
6.072744,0.994473,0.819974,-0.175150,0.544945
3.467461,0.967545,-0.780158,-0.263627,0.567323
0.872990,2.899913,0.153781,0.183390,-0.970937
1.481101,0.909547,0.070695,0.786053,0.614103
3.851456,0.371193,-0.275111,-0.236401,0.931895
4.549564,1.056031,-0.141099,-0.858896,0.492330
2.057697,0.953546,-0.381551,0.720704,0.578795
2.356478,0.667276,-0.437716,0.437468,0.785510
0.981063,2.421197,0.366875,0.548254,-0.751545
5.913061,1.294871,0.897018,-0.348048,0.272437
1.974949,1.615409,-0.392849,0.918521,-0.044597
1.512723,1.732525,0.057284,0.985287,-0.161025
5.978809,1.120007,0.858729,-0.269759,0.435676
4.604856,1.991216,-0.097980,-0.907645,-0.408144
3.929779,1.310862,-0.681445,-0.685256,0.257017
0.890052,0.381450,0.234294,0.289290,0.928126
5.109274,0.944505,0.313184,-0.747229,0.586144
3.380086,0.216347,-0.208587,-0.050712,0.976688
3.644658,1.308140,-0.846062,-0.465578,0.259647
0.631555,1.970967,0.743344,0.543755,-0.389576
1.492644,0.445213,0.033622,0.429336,0.902519
2.741202,2.109235,-0.790610,0.334628,-0.512796
6.264667,1.211015,0.935813,-0.017332,0.352070
1.990645,0.313601,-0.125746,0.281694,0.951229
2.328168,1.036393,-0.591225,0.625330,0.509328
0.260241,0.576178,0.526478,0.140190,0.838551
1.596138,2.126607,-0.021525,0.849200,-0.527632
1.342046,0.968869,0.186907,0.802775,0.566232
4.704935,1.633577,-0.007439,-0.998002,-0.062739
4.806890,1.911901,0.088924,-0.938181,-0.334528
2.811715,2.115118,-0.809353,0.277113,-0.517838
1.795010,2.482580,-0.136147,0.597009,-0.790597
5.912480,1.751634,0.916873,-0.356365,-0.179854
6.058384,2.766782,0.356884,-0.081608,-0.930577
2.420117,1.878035,-0.715672,0.629564,-0.302427
2.213498,2.627937,-0.294505,0.393327,-0.870954
2.464003,0.699287,-0.501476,0.403529,0.765301
4.529530,2.723652,-0.073806,-0.399112,-0.913927
6.125363,2.658040,0.459149,-0.073072,-0.885349
1.684025,2.295950,-0.084559,0.743605,-0.663251
3.389180,2.402169,-0.653314,-0.165140,-0.738857
2.624789,1.996906,-0.791661,0.449921,-0.413331
4.604940,2.304620,-0.079640,-0.738336,-0.669714
1.225795,2.460067,0.213058,0.592857,-0.776612
6.180586,0.733603,0.666029,-0.068575,0.742767
5.000718,2.525279,0.164364,-0.554170,-0.816015
2.778478,1.265543,-0.891580,0.338767,0.300535
1.849329,0.726924,-0.182722,0.638961,0.747222
0.038532,0.373070,0.364205,0.014040,0.931213
3.595221,2.319374,-0.658559,-0.321072,-0.680598
1.078752,2.961255,0.084736,0.158084,-0.983783
2.739758,0.770576,-0.641065,0.272425,0.717510
0.431322,2.466216,0.567933,0.261375,-0.780471
0.429632,0.608624,0.519779,0.238150,0.820436
0.814316,1.663827,0.683398,0.724111,-0.092897
0.826534,0.572148,0.366787,0.398276,0.840740
3.457186,2.210270,-0.762781,-0.249053,-0.596773
5.026657,0.341979,0.103664,-0.318928,0.942093
0.881241,1.452189,0.631724,0.766109,0.118330
5.000522,1.195185,0.264352,-0.891934,0.366841
1.620679,1.822646,-0.048289,0.967249,-0.249195
2.793480,1.247265,-0.891249,0.323426,0.317917
1.999311,1.380670,-0.408033,0.893194,0.188983
1.507296,0.938316,0.051182,0.804938,0.591147
3.780282,1.752449,-0.789668,-0.586335,-0.180656
5.734542,0.634505,0.505778,-0.309152,0.805365
4.110527,0.537527,-0.289891,-0.422044,0.858978
1.731158,2.112694,-0.136799,0.845739,-0.515763
1.675213,1.436743,-0.103292,0.985631,0.133652
2.868025,1.349652,-0.939366,0.263588,0.219346
6.131103,1.430068,0.978686,-0.149999,0.140264
2.264809,2.516825,-0.374123,0.449611,-0.811099
4.825733,2.241022,0.088636,-0.778653,-0.621163
1.967814,1.438724,-0.383302,0.914187,0.131689
2.776789,1.749786,-0.919269,0.351066,-0.178036
2.433287,0.887685,-0.589051,0.504573,0.631209
5.102352,1.422267,0.375968,-0.914740,0.147983
3.227347,0.521931,-0.496723,-0.042701,0.866858
4.299225,2.411536,-0.267771,-0.610795,-0.745137
3.054997,1.318674,-0.964757,0.083753,0.249460
0.831544,1.696187,0.668446,0.733171,-0.125062
2.750903,1.984363,-0.846693,0.348720,-0.401878
5.832619,1.917109,0.846756,-0.409621,-0.339432
2.842438,1.232494,-0.901423,0.278008,0.331886
4.424497,2.176917,-0.233353,-0.788040,-0.569684
5.553154,2.028889,0.668327,-0.598135,-0.442238
5.123171,2.490961,0.241868,-0.555301,-0.795701
